"Manager","MgrCik","Period","CUSIP","Name","Class","PutCall","Value","Shares"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","268158201","DYNAVAX TECHNOLOGIES CORP","COM NEW","","59728","2472200"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","28238P109","EHEALTH INC","COM","","12974","1300000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","29251M106","ENANTA PHARMACEUTICALS INC","COM","","16652","504300"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","29358P101","ENSIGN GROUP INC","COM","","11206","495200"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","30219G108","EXPRESS SCRIPTS HLDG CO","COM","","190729","2182000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","31189P102","FATE THERAPEUTICS INC","COM","","2335","692900"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","34385P108","FLUIDIGM CORP DEL","COM","","26483","2449900"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","34385PAA6","FLUIDIGM CORP DEL","NOTE 2.750% 2/0","","6424","10000000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","34986J105","FORWARD PHARMA A/S","SPONSORED ADR","","18251","960600"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","36315X101","GALAPAGOS NV","SPON ADR","","14462","230000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","375558103","GILEAD SCIENCES INC","COM","","346211","3421400"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","377322102","GLAUKOS CORP","COM","","71550","2897937"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","36197T103","GW PHARMACEUTICALS PLC","ADS","","21117","304100"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","40412C101","HCA HOLDINGS INC","COM","","402777","5955600"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","42222G108","HEALTH NET INC","COM","","204613","2988800"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","452327109","ILLUMINA INC","COM","","168336","877000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45253H101","IMMUNOGEN INC","COM","","82718","6095647"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","452907108","IMMUNOMEDICS INC","COM","","11672","3802000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45256B101","IMPAX LABORATORIES INC","COM","","284957","6664100"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45337C102","INCYTE CORP","COM","","307236","2832978"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45337CAM4","INCYTE CORP","NOTE 0.375%11/1","","9195","4250000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45337CAN2","INCYTE CORP","NOTE 1.250%11/1","","9292","4250000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45665G303","INFINITY PHARMACEUTICALS INC","COM","","34668","4416300"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45780V102","INOTEK PHARMACEUTICALS CORP","COM","","4815","425000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","457669307","INSMED INC","COM PAR $.01","","62979","3469900"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45824V209","INSYS THERAPEUTICS INC NEW","COM NEW","","125020","4366740"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","45845P108","INTERCEPT PHARMACEUTICALS IN","COM","","167272","1120000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","46120E602","INTUITIVE SURGICAL INC","COM NEW","","130532","239000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","46185L103","INVITAE CORP","COM","","3749","456666"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","46333X108","IRONWOOD PHARMACEUTICALS INC","COM CL A","","130114","11226400"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","G50871105","JAZZ PHARMACEUTICALS PLC","SHS USD","","12650","90000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","478160104","JOHNSON & JOHNSON","COM","","29994","292000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","532457108","LILLY ELI & CO","COM","","135911","1613000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","53619R102","LION BIOTECHNOLOGIES INC","COM","","7891","1022100"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","548862101","LOXO ONCOLOGY INC","COM","","61903","2175857"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","556099109","MACROGENICS INC","COM","","9817","317000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","559079207","MAGELLAN HEALTH INC","COM NEW","","113023","1833000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","G5785G107","MALLINCKRODT PUB LTD CO","SHS","","94183","1262000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","56400P201","MANNKIND CORP","COM","Put","653","450000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","56854Q101","MARINUS PHARMACEUTICALS INC","COM","","7373","965000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","58155Q103","MCKESSON CORP","COM","","68907","349372"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","58471G102","MEDIGUS LTD","SPONSORED ADR","","52","600000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","58501N101","MEDIVATION INC","COM","","7879","163000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","G5960L103","MEDTRONIC PLC","SHS","","45252","588299"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","60468T105","MIRATI THERAPEUTICS INC","COM","","1018","32200"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","60855R100","MOLINA HEALTHCARE INC","COM","","34205","568850"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","N59465109","MYLAN N V","SHS EURO","","170699","3157000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","62957M104","NABRIVA THERAPEUTICS AG","SPONSORED ADR","","12650","1315000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","632307104","NATERA INC","COM","","13783","1276190"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","64125C109","NEUROCRINE BIOSCIENCES INC","COM","","142272","2514974"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","651511107","NEWLINK GENETICS CORP","COM","","34764","955306"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","670704105","NUVASIVE INC","COM","","80462","1487000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","67576A100","OCULAR THERAPEUTIX INC","COM","","1452","155000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","683745103","OPHTHOTECH CORP","COM","","157963","2011500"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","686164AB0","OREXIGEN THERAPEUTICS INC","NOTE 2.750%12/0","","3104","5210000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","68906L105","OTONOMY INC","COM","","51340","1850094"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","71426V108","PERNIX THERAPEUTICS HLDGS IN","COM","","3165","1073000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","717081103","PFIZER INC","COM","","133123","4124000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","720795103","PIERIS PHARMACEUTICALS INC","COM","","16625","7259620"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","737010108","PORTOLA PHARMACEUTICALS INC","COM","","66972","1301700"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","74346L101","PRONAI THERAPEUTICS INC","COM","","29929","1989949"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","N71542109","PROQR THRAPEUTICS N V","SHS EURO","","19717","2271500"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","74587V107","PUMA BIOTECHNOLOGY INC","COM","","175524","2238825"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","746927102","QLT INC","COM","","1330","500000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","757468103","REDHILL BIOPHARMA LTD","SPONSORED ADS","","7276","564900"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","75886F107","REGENERON PHARMACEUTICALS","COM","","262206","483000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","759531106","RELYPSA INC","COM","","209716","7400000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","775431109","ROKA BIOSCIENCE INC","COM","","3961","3220429"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","81750R102","SERES THERAPEUTICS INC","COM","","5848","166645"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","82481R106","SHIRE PLC","SPONSORED ADR","","51449","250971"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","82621J105","SIENTRA INC","COM","","8036","1357500"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","P8696W104","SINOVAC BIOTECH LTD","SHS","","15258","2667500"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","863667101","STRYKER CORP","COM","","17287","186000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","871639308","SYNERGY PHARMACEUTICALS DEL","COM NEW","","12909","2276648"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","881569107","TESARO INC","COM","","92329","1764700"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","881624209","TEVA PHARMACEUTICAL INDS LTD","ADR","","160555","2446000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","883556102","THERMO FISHER SCIENTIFIC INC","COM","","195753","1380000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","91324P102","UNITEDHEALTH GROUP INC","COM","","27998","238000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","91911K102","VALEANT PHARMACEUTICALS INTL","COM","","39644","390000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","92532F100","VERTEX PHARMACEUTICALS INC","COM","","84684","673000"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","92847N103","VITAE PHARMACEUTICALS INC","COM","","8822","487400"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","94946T106","WELLCARE HEALTH PLANS INC","COM","","105286","1346200"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","N96617118","WRIGHT MED GROUP N V","ORD SHS 0.03 PAR","","199367","8245111"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","98401F105","XENCOR INC","COM","","16185","1107022"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","98411C100","XENOPORT INC","COM","","31669","5768400"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","98420P100","XTANT MED HLDGS INC","COM","","1331","475439"
"ORBIMED ADVISORS LLC","0001055951","12-31-2015","98956P102","ZIMMER BIOMET HLDGS INC","COM","","15060","146800"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","00766T100","AECOM","COM","","57810","1925067"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","00766T100","AECOM","COM","","12745","424425"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","00766T100","AECOM","COM","","26583","885214"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","N00985106","AERCAP HOLDINGS NV","SHS","","185561","4299374"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","N00985106","AERCAP HOLDINGS NV","SHS","","40963","949100"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","N00985106","AERCAP HOLDINGS NV","SHS","","86062","1994026"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","N00985106","AERCAP HOLDINGS NV","SHS","","5394","124980"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G0177J108","ALLERGAN PLC","SHS","","76250","244000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G0177J108","ALLERGAN PLC","SHS","","16813","53800"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G0177J108","ALLERGAN PLC","SHS","","35063","112200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","02503X105","AMERICAN CAPITAL AGENCY CORP","COM","","15994","922400"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","02503X105","AMERICAN CAPITAL AGENCY CORP","COM","","3530","203600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","02503X105","AMERICAN CAPITAL AGENCY CORP","COM","","7352","424000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","037833100","APPLE INC","COM","","400672","3806498"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","037833100","APPLE INC","COM","","81363","772976"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","037833100","APPLE INC","COM","","174972","1662280"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","037833100","APPLE INC","COM","","4528","43020"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","05351W103","AVANGRID INC","COM","","120307","3133000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","05351W103","AVANGRID INC","COM","","26166","681400"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","05351W103","AVANGRID INC","COM","","55127","1435600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","071813109","BAXTER INTL INC","COM","","11407","299000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","071813109","BAXTER INTL INC","COM","","2529","66300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","071813109","BAXTER INTL INC","COM","","5272","138200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","163851108","CHEMOURS CO","COM","","10899","2033400"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","163851108","CHEMOURS CO","COM","","2379","443900"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","163851108","CHEMOURS CO","COM","","4946","922700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","167250109","CHICAGO BRIDGE & IRON CO N V","COM","","79259","2032802"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","167250109","CHICAGO BRIDGE & IRON CO N V","COM","","17444","447400"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","167250109","CHICAGO BRIDGE & IRON CO N V","COM","","36749","942528"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","167250109","CHICAGO BRIDGE & IRON CO N V","COM","","1076","27600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","125509109","CIGNA CORPORATION","COM","","32661","223200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","125509109","CIGNA CORPORATION","COM","","7214","49300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","125509109","CIGNA CORPORATION","COM","","14999","102500"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","12592V100","CNX COAL RES LP","COM UNIT RP LP","","30115","3248638"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","12592V100","CNX COAL RES LP","COM UNIT RP LP","","6668","719300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","12592V100","CNX COAL RES LP","COM UNIT RP LP","","14095","1520500"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","20854P109","CONSOL ENERGY INC","COM","","137853","17449716"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","20854P109","CONSOL ENERGY INC","COM","","30523","3863700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","20854P109","CONSOL ENERGY INC","COM","","64520","8167149"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","20854P109","CONSOL ENERGY INC","COM","","1019","129000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","254067101","DILLARDS INC","CL A","","66576","1013172"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","254067101","DILLARDS INC","CL A","","14647","222900"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","254067101","DILLARDS INC","CL A","","30930","470700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","254067101","DILLARDS INC","CL A","","2419","36810"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","23334L102","DSW INC","CL A","","49595","2078600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","23334L102","DSW INC","CL A","","10992","460700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","23334L102","DSW INC","CL A","","22922","960700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","268648102","E M C CORP MASS","COM","","30184","1175400"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","268648102","E M C CORP MASS","COM","","6659","259300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","268648102","E M C CORP MASS","COM","","13875","540300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","31679P109","FIFTH STR ASSET MGMT INC","CL A COM","","1242","380986"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","31679P109","FIFTH STR ASSET MGMT INC","CL A COM","","276","84800"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","31679P109","FIFTH STR ASSET MGMT INC","CL A COM","","410","125900"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","H2906T109","GARMIN LTD","SHS","","18368","494168"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","H2906T109","GARMIN LTD","SHS","","4063","109300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","H2906T109","GARMIN LTD","SHS","","8504","228800"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","37045V100","GENERAL MTRS CO","COM","","280410","8244916"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","37045V100","GENERAL MTRS CO","COM","","61857","1818800"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","37045V100","GENERAL MTRS CO","COM","","128864","3789002"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","37045V100","GENERAL MTRS CO","COM","","2418","71100"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","392709101","GREEN BRICK PARTNERS INC","COM","","123781","17191821"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","392709101","GREEN BRICK PARTNERS INC","COM","","24961","3466793"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","392709101","GREEN BRICK PARTNERS INC","COM","","24912","3460054"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","444859102","HUMANA INC","COM","","38237","214200"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","444859102","HUMANA INC","COM","","8444","47300"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","444859102","HUMANA INC","COM","","17583","98500"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","44919P508","IAC INTERACTIVECORP","COM PAR $.001","","89350","1487923"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","44919P508","IAC INTERACTIVECORP","COM PAR $.001","","19713","328281"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","44919P508","IAC INTERACTIVECORP","COM PAR $.001","","41062","683796"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","457153104","INGRAM MICRO INC","CL A","","22080","726804"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","457153104","INGRAM MICRO INC","CL A","","4706","154900"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","457153104","INGRAM MICRO INC","CL A","","9919","326500"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U138","LIBERTY GLOBAL PLC","LILAC SHS CL A","","583","14103"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U138","LIBERTY GLOBAL PLC","LILAC SHS CL A","","349","8434"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U153","LIBERTY GLOBAL PLC","LILAC SHS CL C","","1512","35168"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U153","LIBERTY GLOBAL PLC","LILAC SHS CL C","","904","21033"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U104","LIBERTY GLOBAL PLC","SHS CL A","","30837","727965"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U104","LIBERTY GLOBAL PLC","SHS CL A","","4224","99709"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U104","LIBERTY GLOBAL PLC","SHS CL A","","14434","340744"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U120","LIBERTY GLOBAL PLC","SHS CL C","","74002","1815118"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U120","LIBERTY GLOBAL PLC","SHS CL C","","18116","444347"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G5480U120","LIBERTY GLOBAL PLC","SHS CL C","","34639","849615"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","55616P104","MACYS INC","COM","","138626","3963000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","55616P104","MACYS INC","COM","","30489","871600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","55616P104","MACYS INC","COM","","64377","1840400"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","55616P104","MACYS INC","COM","","2260","64600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","57060U100","MARKET VECTORS ETF TR","GOLD MINER ETF","","69506","5066035"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","57060U100","MARKET VECTORS ETF TR","GOLD MINER ETF","","15341","1118150"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","57060U100","MARKET VECTORS ETF TR","GOLD MINER ETF","","32017","2333611"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","57665R106","MATCH GROUP INC","COM","","5148","379926"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","57665R106","MATCH GROUP INC","COM","","1133","83600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","57665R106","MATCH GROUP INC","COM","","2393","176600"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G60754101","MICHAEL KORS HLDGS LTD","SHS","","212404","5302148"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G60754101","MICHAEL KORS HLDGS LTD","SHS","","46830","1169000"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G60754101","MICHAEL KORS HLDGS LTD","SHS","","97953","2445152"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","G60754101","MICHAEL KORS HLDGS LTD","SHS","","2352","58700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","N59465109","MYLAN N V","SHS EURO","","92768","1715700"
"GREENLIGHT CAPITAL INC","0001079114","12-31-2015","N59465109","MYLAN N V","SHS EURO","","20406","377400"
